station,years,longitude,latitude,total_crimes,murder,rape,robbery,assault_gbh,carjacking,property_crime,contact_crime
aberdeen,2008,24.06098,-32.47634,328,3,11,4,69,0,166,118
aberdeen,2009,24.06098,-32.47634,350,5,7,6,67,1,181,114
aberdeen,2010,24.06098,-32.47634,280,4,10,9,53,0,133,93
aberdeen,2011,24.06098,-32.47634,320,4,6,4,62,0,197,91
aberdeen,2012,24.06098,-32.47634,296,6,5,1,57,0,156,89
aberdeen,2013,24.06098,-32.47634,309,10,15,6,54,0,131,102
aberdeen,2014,24.06098,-32.47634,399,5,9,11,78,0,182,118
aberdeen,2015,24.06098,-32.47634,433,9,13,21,87,0,169,163
aberdeen,2016,24.06098,-32.47634,430,5,8,27,61,0,217,100
aberdeen,2017,24.06098,-32.47634,380,3,6,18,58,0,199,93
aberdeen,2018,24.06098,-32.47634,361,2,10,21,54,0,173,104
aberdeen,2019,24.06098,-32.47634,344,3,8,10,60,0,159,107
aberdeen,2020,24.06098,-32.47634,397,4,6,14,48,0,189,98
aberdeen,2021,24.06098,-32.47634,327,8,3,14,46,0,151,84
aberdeen,2022,24.06098,-32.47634,397,9,3,10,62,0,192,106
acornhoek,2008,31.04835,-24.5971,2131,23,114,243,364,16,951,635
acornhoek,2009,31.04835,-24.5971,1954,28,128,269,348,20,781,661
acornhoek,2010,31.04835,-24.5971,1965,22,125,194,359,3,810,667
acornhoek,2011,31.04835,-24.5971,2016,26,140,243,344,10,753,657
acornhoek,2012,31.04835,-24.5971,1750,19,113,127,299,9,758,541
acornhoek,2013,31.04835,-24.5971,1768,22,127,201,276,5,671,539
acornhoek,2014,31.04835,-24.5971,1708,20,135,256,232,11,523,506
acornhoek,2015,31.04835,-24.5971,1966,12,105,244,309,13,686,594
acornhoek,2016,31.04835,-24.5971,2225,24,105,440,254,17,715,551
acornhoek,2017,31.04835,-24.5971,2133,27,86,386,212,27,646,486
acornhoek,2018,31.04835,-24.5971,2229,31,86,407,301,31,662,604
acornhoek,2019,31.04835,-24.5971,2249,19,114,394,277,18,816,599
acornhoek,2020,31.04835,-24.5971,2151,33,84,460,283,34,763,624
